,Unnamed: 0,Unnamed: 0.1,id,country.name,country.id,topics,income,CLIP score
0,0,37685,5d4be10ecf0b3a0f3f33a5f3,India,in,Source of cool,6606.0,0.3279788
1,1,37686,5d4be10ecf0b3a0f3f33a5f5,India,in,rehabilitation technology,6606.0,0.22711265
2,2,37687,5d4be10ecf0b3a0f3f33a5f7,India,in,Play area,6606.0,0.4011936
3,3,37688,5d4be10ecf0b3a0f3f33a5f9,India,in,Pen/pencils,6606.0,0.37116674
4,4,37689,5d4be10ecf0b3a0f3f33a5fb,India,in,Power outlet,6606.0,0.31997246
5,5,37690,5d4be10ecf0b3a0f3f33a5ff,India,in,Parking lot,6606.0,0.37393194
6,6,37691,5d4be10fcf0b3a0f3f33a601,India,in,Worship places,6606.0,0.32956004
7,7,37692,5d4be10fcf0b3a0f3f33a603,India,in,Phone,6606.0,0.39746052
8,8,37693,5d4be10fcf0b3a0f3f33a605,India,in,Plate of food,6606.0,0.33231777
9,9,37694,5d4be10fcf0b3a0f3f33a609,India,in,transport of heavy things,6606.0,0.1782681
10,10,37695,5d4be10fcf0b3a0f3f33a60b,India,in,Necklaces,6606.0,0.36355543
11,11,37696,5d4be10fcf0b3a0f3f33a60d,India,in,Knifes,6606.0,0.3972083
12,12,37697,5d4be10fcf0b3a0f3f33a611,India,in,Piercings,6606.0,0.43428385
13,13,37698,5d4be10fcf0b3a0f3f33a613,India,in,Earings,6606.0,0.3942137
14,14,37700,5d4be10fcf0b3a0f3f33a617,India,in,Oven,6606.0,0.35948125
15,15,37701,5d4be10fcf0b3a0f3f33a619,India,in,"Lightsources by bed, reading light",6606.0,0.28488457
16,16,37703,5d4be110cf0b3a0f3f33a61f,India,in,Wall clock,6606.0,0.40214235
17,17,37704,5d4be110cf0b3a0f3f33a623,India,in,Car keys,6606.0,0.41577
18,18,37705,5d4be110cf0b3a0f3f33a625,India,in,Living room,6606.0,0.3403896
19,19,37706,5d4be110cf0b3a0f3f33a62b,India,in,Nicest shoes,6606.0,0.2859311
20,20,37708,5d4be110cf0b3a0f3f33a631,India,in,Mosquito protection,6606.0,0.36788142
21,21,37709,5d4be110cf0b3a0f3f33a635,India,in,"Visit,Moped/motorcycle",6606.0,0.31808966
22,22,37710,5d4be110cf0b3a0f3f33a639,India,in,Medication,6606.0,0.39588755
23,23,37713,5d4be111cf0b3a0f3f33a63f,India,in,Light source in livingroom,6606.0,0.36506593
24,24,37714,5d4be111cf0b3a0f3f33a641,India,in,Kitchen,6606.0,0.3173031
25,25,37715,5d4be111cf0b3a0f3f33a643,India,in,Soap for hands and body,6606.0,0.35358956
26,26,37716,5d4be111cf0b3a0f3f33a647,India,in,Jewelry,6606.0,0.27615377
27,27,37717,5d4be111cf0b3a0f3f33a64b,India,in,Hand palm,6606.0,0.441221
28,28,37718,5d4be111cf0b3a0f3f33a64d,India,in,Hand back,6606.0,0.33532125
29,29,37719,5d4be111cf0b3a0f3f33a64f,India,in,Fruits and vegetables,6606.0,0.35705483
30,30,37720,5d4be111cf0b3a0f3f33a653,India,in,Lock on front door,6606.0,0.38628462
31,31,37721,5d4be111cf0b3a0f3f33a655,India,in,Grains,6606.0,0.33176214
32,32,37722,5d4be111cf0b3a0f3f33a657,India,in,Hair brush/comb,6606.0,0.45126256
33,33,37723,5d4be112cf0b3a0f3f33a659,India,in,Glasses or lenses,6606.0,0.41487998
34,34,37724,5d4be112cf0b3a0f3f33a65b,India,in,Family,6606.0,0.27386335
35,35,37725,5d4be112cf0b3a0f3f33a65f,India,in,Front door,6606.0,0.40435612
36,36,37726,5d4be112cf0b3a0f3f33a661,India,in,Freezer,6606.0,0.43593803
37,37,37727,5d4be112cf0b3a0f3f33a667,India,in,"Water outlet, drainage",6606.0,0.39085174
38,38,37728,5d4be112cf0b3a0f3f33a669,India,in,Floor,6606.0,0.33571157
39,39,37729,5d4be112cf0b3a0f3f33a66b,India,in,Dish washing soap,6606.0,0.37264466
40,40,37730,5d4be112cf0b3a0f3f33a66f,India,in,Dish washing brush/cloth,6606.0,0.41399014
41,41,37732,5d4be112cf0b3a0f3f33a673,India,in,"Cutlery,Cooking utensils",6606.0,0.42244986
42,42,37733,5d4be113cf0b3a0f3f33a679,India,in,Cosmetics,6606.0,0.39963073
43,43,37734,5d4be113cf0b3a0f3f33a67f,India,in,Cooking pots,6606.0,0.37878168
44,44,37735,5d4be113cf0b3a0f3f33a683,India,in,Books,6606.0,0.35374904
45,45,37736,5d4be113cf0b3a0f3f33a685,India,in,Washing clothes/cleaning,6606.0,0.40953147
46,46,37737,5d4be113cf0b3a0f3f33a687,India,in,Cleaning floors,6606.0,0.33323613
47,47,37738,5d4be113cf0b3a0f3f33a689,India,in,Drying,6606.0,0.39018202
48,48,37739,5d4be113cf0b3a0f3f33a68b,India,in,Bike,6606.0,0.36116955
49,49,37740,5d4be113cf0b3a0f3f33a68d,India,in,Car,6606.0,0.30715263
50,50,37741,5d4be113cf0b3a0f3f33a68f,India,in,Bedroom,6606.0,0.3435793
51,51,37742,5d4be113cf0b3a0f3f33a691,India,in,Bed kids,6606.0,0.32153365
52,52,37743,5d4be114cf0b3a0f3f33a693,India,in,Bed,6606.0,0.37154055
53,53,37744,5d4be114cf0b3a0f3f33a697,India,in,Armchair,6606.0,0.25811845
54,54,37745,5d4be114cf0b3a0f3f33a699,India,in,Guest bed,6606.0,0.30417740000000004
55,55,37746,5fd0362ef2d9500e4358d1cb,India,in,"Adding spices to food while cooking,Spices",6606.0,0.43743512
56,56,37747,5fd03630f2d9500e4358d1d5,India,in,Alarm clock,6606.0,0.2520102
57,57,37748,5fd03631f2d9500e4358d1df,India,in,"Answering the phone,Phone",6606.0,0.309776
58,58,37749,5fd03632f2d9500e4358d1e4,India,in,"Brushing hair,Hair brush/comb",6606.0,0.3141508
59,59,37750,5fd03633f2d9500e4358d1f1,India,in,"Brushing teeth,Toothbrush",6606.0,0.38650417
60,60,37751,5fd03634f2d9500e4358d201,India,in,"Chopping ingredients,Chopping food",6606.0,0.39352518
61,61,37752,5fd03636f2d9500e4358d209,India,in,Cleaning after toilet,6606.0,0.31095886
62,62,37753,5fd03638f2d9500e4358d20d,India,in,Source of cool,6606.0,0.22725606
63,63,37754,5fd03639f2d9500e4358d216,India,in,"Doing Dishes,Kitchen sink",6606.0,0.40161842
64,64,37756,5fd0363cf2d9500e4358d231,India,in,Drinking water,6606.0,0.39660668
65,65,37757,5fd0363ef2d9500e4358d240,India,in,Drying,6606.0,0.37332308
66,66,37758,5fd0363ff2d9500e4358d246,India,in,"Plate of food,Eating,Family eating",6606.0,0.39139435
67,67,37760,5fd03643f2d9500e4358d264,India,in,"Visit,Opening and closing the freezer",6606.0,0.4018978
68,68,37761,5fd03644f2d9500e4358d26d,India,in,Refrigerator,6606.0,0.38025793
69,69,37762,5fd03648f2d9500e4358d2a0,India,in,Get water,6606.0,0.36422318
70,70,37763,5fd03649f2d9500e4358d2aa,India,in,Hand palm,6606.0,0.38013947
71,71,37764,5fd0364af2d9500e4358d2b7,India,in,Source of heat,6606.0,0.26687902
72,72,37765,5fd0364cf2d9500e4358d2c9,India,in,Home,6606.0,0.25286925
73,73,37768,5fd03651f2d9500e4358d2e3,India,in,Kids playing outside,6606.0,0.30023906
74,74,37769,5fd03652f2d9500e4358d2e4,India,in,"Turning lights on and off,Source of light",6606.0,0.37156218
75,75,37770,5fd03653f2d9500e4358d2e7,India,in,Turning lights on and off,6606.0,0.26690394
76,76,37771,5fd03654f2d9500e4358d2e9,India,in,"Turning lights on and off,Light sources",6606.0,0.30914128
77,77,37772,5fd03656f2d9500e4358d2f3,India,in,"Make up,Putting on make up",6606.0,0.36769247
78,78,37773,5fd03657f2d9500e4358d308,India,in,Music Equipment,6606.0,0.26513675
79,79,37774,5fd0365af2d9500e4358d325,India,in,"Visit,Play area",6606.0,0.39094386
80,80,37775,5fd0365cf2d9500e4358d32b,India,in,"Visit,Instrument",6606.0,0.3633848
81,81,37776,5fd0365df2d9500e4358d338,India,in,"Visit,Playing an instrument",6606.0,0.3393556
82,82,37777,5fd0365ef2d9500e4358d347,India,in,"Plugging into and out of power outlet,Power outlet",6606.0,0.43786344
83,83,37778,5fd03660f2d9500e4358d356,India,in,"Pouring drinking water,Pouring water",6606.0,0.39661258
84,84,37779,5fd03661f2d9500e4358d35d,India,in,"Cooking,Preparing food",6606.0,0.36305177
85,85,37780,5fd03662f2d9500e4358d35f,India,in,Reading,6606.0,0.33822757
86,86,37782,5fd03664f2d9500e4358d363,India,in,"Salt,Taking a teaspoon of salt",6606.0,0.33848682
87,87,37783,5fd03665f2d9500e4358d36b,India,in,Shoes,6606.0,0.32797313
88,88,37784,5fd03667f2d9500e4358d37c,India,in,"Visit,Preparing social drink",6606.0,0.41930664
89,89,37785,5fd03669f2d9500e4358d38b,India,in,Socializing,6606.0,0.27448568
90,90,37786,5fd0366bf2d9500e4358d391,India,in,Starting stove,6606.0,0.37390682
91,91,37787,5fd0366df2d9500e4358d393,India,in,Street view,6606.0,0.3477754
92,92,37788,5fd0366ff2d9500e4358d39e,India,in,Walking towards front door,6606.0,0.3229844
93,93,37789,5fd03671f2d9500e4358d3a2,India,in,Tooth paste,6606.0,0.38337606
94,94,37790,5fd03673f2d9500e4358d3b1,India,in,Toys,6606.0,0.34820646
95,95,37791,5fd03674f2d9500e4358d3bb,India,in,TV,6606.0,0.2833422
96,96,37792,5fd03679f2d9500e4358d3d4,India,in,Washing clothes/cleaning,6606.0,0.38348758
97,97,37793,5fd0367af2d9500e4358d3df,India,in,"Hand washing,Washing hands",6606.0,0.4431268
98,98,37794,5fd0367cf2d9500e4358d3eb,India,in,"Sitting and watching TV,TV",6606.0,0.33345973
99,99,37795,5fd0367ef2d9500e4358d400,India,in,"Worship places,Worshipping",6606.0,0.29475445
100,100,37796,5fd03680f2d9500e4358d40a,India,in,Writing,6606.0,0.26408356
101,101,37797,5fd03681f2d9500e4358d410,India,in,Writing signature,6606.0,0.38191748
102,102,37798,5ed419e36858701b1019a208,France,fr,"Visit,Cooking pots",7110.0,0.3651998
103,103,37799,5ed419e3685870297a19a20c,France,fr,"Visit,Cutlery",7110.0,0.36101466
104,104,37800,5ed419e36858702a4119a207,France,fr,"Visit,Washing detergent",7110.0,0.4146387
105,105,37801,5ed419e3685870480419a205,France,fr,"Visit,Drying",7110.0,0.3558675
106,106,37802,5ed419e36858704c5619a20a,France,fr,"Visit,Make up",7110.0,0.33923873
107,107,37803,5ed419e3685870535c19a206,France,fr,"Visit,Washing clothes/cleaning",7110.0,0.37149888
108,108,37804,5ed419e3685870600819a20b,France,fr,"Visit,Cups/mugs/glasses",7110.0,0.44033104
109,109,37805,5ed419e36858709b5b19a209,France,fr,"Visit,Cooking utensils",7110.0,0.33231103
110,110,37806,5ed42132685870165919a222,France,fr,"Visit,Dish racks",7110.0,0.31571257
111,111,37807,5ed421326858707d3119a225,France,fr,"Visit,Water outlet, drainage",7110.0,0.3728531
112,112,37809,5ed42132685870b69019a227,France,fr,"Visit,Drinking water",7110.0,0.29626440000000004
113,113,37810,5ed42132685870cdc719a224,France,fr,"Visit,Dish washing soap",7110.0,0.4046236
114,114,37811,5ed42132685870f0dd19a223,France,fr,"Visit,Dish washing brush/cloth",7110.0,0.33935767
115,115,37812,5ed42a296858702bfa19a243,France,fr,"Visit,Freezer",7110.0,0.4026389
116,116,37813,5ed42a296858702e7519a245,France,fr,"Visit,Lock on front door",7110.0,0.41547698
117,117,37814,5ed42a296858703ee419a248,France,fr,"Visit,Hair brush/comb",7110.0,0.4210833
118,118,37815,5ed42a29685870460619a242,France,fr,"Visit,Floor",7110.0,0.35930198
119,119,37816,5ed42a29685870537c19a249,France,fr,"Visit,Hand back",7110.0,0.42643124
120,120,37817,5ed42a2968587076ea19a247,France,fr,"Visit,Grains",7110.0,0.34303993
121,121,37818,5ed42a29685870800319a246,France,fr,"Visit,Fruits and vegetables",7110.0,0.34420850000000003
122,122,37819,5ed42a29685870e51019a244,France,fr,"Visit,Front door",7110.0,0.35944292
123,123,37820,5ed5b9e4b32361036c9eab44,France,fr,"Visit,Light source in livingroom",7110.0,0.3675101
124,124,37821,5ed5b9e4b3236106939eab45,France,fr,"Visit,Light source in kitchen",7110.0,0.3566316
125,125,37822,5ed5b9e4b3236110699eab42,France,fr,"Visit,Jewelry",7110.0,0.33546063
126,126,37823,5ed5b9e4b32361635b9eab3e,France,fr,"Visit,Hand palm",7110.0,0.4416885999999999
127,127,37824,5ed5b9e4b32361a2009eab3f,France,fr,"Visit,Hand washing",7110.0,0.4408715999999999
128,128,37825,5ed5b9e4b32361c8819eab41,France,fr,"Visit,Wall ",7110.0,0.34074607
129,129,37826,5ed5b9e4b32361ceae9eab43,France,fr,"Visit,Kitchen",7110.0,0.3723606
130,130,37827,5ed5c0f4b323610cec9eab55,France,fr,"Visit,Medication",7110.0,0.37296215
