,Topic,Forget ratio,Total images per country,Forgotten images
0,Serbia,0.6592356687898089,1256,828
1,South Africa,0.7221644120707597,961,694
2,Brazil,0.6193877551020408,1960,1214
3,Colombia,0.557,3000,1671
4,India,0.6152888888888889,5625,3461
5,Spain,0.5975609756097561,1148,686
6,Togo,0.7512820512820513,390,293
7,Czech Republic,0.549618320610687,393,216
8,Netherlands,0.5137029955385596,1569,806
9,Switzerland,0.6842105263157895,152,104
10,Italy,0.57421875,256,147
11,Kenya,0.7382671480144405,554,409
12,Pakistan,0.5805705474171164,1297,753
13,Ethiopia,0.6887323943661972,710,489
14,Russia,0.5618729096989966,299,168
15,Denmark,0.75,312,234
16,Romania,0.596958174904943,263,157
17,Iran,0.5423728813559322,767,416
18,Austria,0.6285046728971962,428,269
19,Turkey,0.5436893203883495,206,112
20,Sweden,0.6830357142857143,224,153
21,Cameroon,0.644640234948605,681,439
22,Nigeria,0.7765830346475507,837,650
23,Peru,0.8004073319755601,491,393
24,China,0.7059665871121719,2095,1479
25,Thailand,0.7261538461538461,325,236
26,Cambodia,0.7972972972972973,888,708
27,Zimbabwe,0.8933333333333333,450,402
28,Palestine,0.6745562130177515,169,114
29,Malawi,0.9164810690423163,898,823
30,Liberia,0.8780487804878049,246,216
31,Nepal,0.7978723404255319,1692,1350
32,Burkina Faso,0.9168081494057725,589,540
33,Mexico,0.5414110429447853,652,353
34,Egypt,0.6443661971830986,284,183
35,Tunisia,0.7803992740471869,551,430
36,Indonesia,0.7055961070559611,1644,1160
37,Burundi,0.9395770392749244,331,311
38,Haiti,0.9250457038391224,547,506
39,Papua New Guinea,0.9090909090909091,99,90
40,Myanmar,0.8691588785046729,856,744
41,Philippines,0.730284956925116,1509,1102
42,Vietnam,0.6682389937106918,636,425
43,Tanzania,0.7569296375266524,469,355
44,Kazakhstan,0.504950495049505,101,51
45,South Korea,0.6806569343065694,548,373
46,United States,0.5542046605876393,1974,1094
47,Cote d'Ivoire,0.896358543417367,357,320
48,Bolivia,0.788235294117647,340,268
49,Bangladesh,0.8193891102257637,753,617
50,Guatemala,0.5391304347826087,115,62
51,Ukraine,0.6159844054580896,513,316
52,Ghana,0.673469387755102,196,132
53,Somalia,0.9629629629629629,54,52
54,Mongolia,0.6597938144329897,97,64
55,Rwanda,0.8367346938775511,294,246
56,France,0.6561264822134387,506,332
57,United Kingdom,0.5450643776824035,233,127
58,Lebanon,0.5802469135802469,81,47
59,Sri Lanka,0.45544554455445546,101,46
60,Jordan,0.6666666666666666,510,340
61,Kyrgyzstan,0.4588235294117647,85,39
62,Canada,0.375,48,18
